Postnummer,Husnummer,Kvadratmeter,Grundareal,Byggeår,Afstand_skole,Afstand_supermarked,Salgspris
1700.0,29.0,86,0.0,1908.0,225.19,79.16,3495000
1700.0,29.0,119,0.0,1864.0,237.87,82.59,4305000
1700.0,29.0,106,0.0,1864.0,237.87,82.59,4260000
2300.0,6.0,86,0.0,2007.0,566.84,367.32,2400000
2300.0,6.0,86,0.0,2007.0,566.84,367.32,2650000
2300.0,6.0,69,0.0,2007.0,566.84,367.32,2200000
2300.0,8.0,85,0.0,2007.0,557.92,347.8,2525000
2300.0,8.0,85,0.0,2007.0,557.92,347.8,2750000
2300.0,8.0,97,0.0,2007.0,557.92,347.8,3195000
2300.0,8.0,97,0.0,2007.0,557.92,347.8,2995000
2300.0,10.0,91,0.0,2007.0,573.14,349.72,2625000
2300.0,10.0,98,0.0,2007.0,573.14,349.72,2995000
2300.0,10.0,91,0.0,2007.0,573.14,349.72,2945000
2300.0,10.0,101,0.0,2007.0,573.14,349.72,3275000
2300.0,10.0,91,0.0,2007.0,573.14,349.72,2975000
2300.0,12.0,89,0.0,2007.0,590.21,354.43,2395000
2300.0,12.0,86,0.0,2007.0,590.21,354.43,2650000
2300.0,16.0,92,0.0,2007.0,624.94,369.56,2790000
2300.0,16.0,99,0.0,2007.0,624.94,369.56,3250000
2300.0,18.0,99,0.0,2007.0,637.28,390.17,2895000
2300.0,18.0,105,0.0,2007.0,637.28,390.17,2675000
2300.0,18.0,99,0.0,2007.0,637.28,390.17,2920000
2300.0,20.0,100,0.0,2007.0,649.3,411.29,3012500
2300.0,22.0,97,0.0,2007.0,661.0,432.37,2745000
2300.0,22.0,90,0.0,2007.0,661.0,432.37,2650000
2300.0,1.0,112,0.0,2007.0,403.93,151.28,3500000
2300.0,1.0,114,0.0,2007.0,403.93,151.28,4000000
2300.0,7.0,90,0.0,2007.0,438.01,195.45,3570000
2300.0,7.0,90,0.0,2007.0,438.01,195.45,3395000
2300.0,7.0,117,0.0,2007.0,438.01,195.45,4200000
2300.0,7.0,90,0.0,2007.0,438.01,195.45,3785000
2300.0,2.0,117,0.0,2007.0,393.79,134.65,4210000
2100.0,2.0,149,0.0,2007.0,470.53,99.96,5800000
2100.0,8.0,101,0.0,2007.0,516.09,138.62,3797000
2100.0,10.0,122,0.0,2007.0,526.25,133.79,2850000
2100.0,10.0,106,0.0,2007.0,526.25,133.79,6745000
2100.0,10.0,172,0.0,2007.0,526.25,133.79,10000000
2200.0,14.0,101,0.0,1939.0,373.79,41.06,3125000
2200.0,14.0,81,0.0,1939.0,373.79,41.06,2675000
1650.0,86.0,86,0.0,1875.0,267.36,104.64,3375000
2500.0,32.0,87,0.0,2007.0,414.13,32.46,2550000
2500.0,36.0,0,0.0,2007.0,402.53,3.53,950000
1165.0,24.0,144,0.0,1842.0,159.15,67.28,5180000
2900.0,6.0,190,0.0,1910.0,593.99,368.84,6900000
2500.0,4.0,66,0.0,1913.0,214.71,259.07,2300000
2500.0,6.0,94,0.0,2008.0,375.04,35.93,2900000
2500.0,4.0,96,0.0,2008.0,372.97,21.3,3495000
2500.0,2.0,104,0.0,2008.0,374.56,3.92,3098000
2500.0,2.0,103,0.0,2008.0,374.56,3.92,2999000
1264.0,79.0,86,0.0,1880.0,330.72,109.47,3000000
2300.0,175.0,101,0.0,1969.0,214.68,4.99,2595000
2300.0,175.0,94,0.0,1969.0,214.68,4.99,2430000
2300.0,3.0,91,0.0,2007.0,439.66,87.25,2600000
2300.0,5.0,91,0.0,2007.0,418.09,111.94,3200000
2500.0,5.0,124,0.0,2007.0,168.68,11.37,3295000
2500.0,21.0,90,0.0,2007.0,150.75,41.38,2450000
2700.0,6.0,93,0.0,1988.0,438.47,156.78,2185000
1253.0,29.0,130,0.0,1887.0,783.41,76.95,5350000
1253.0,29.0,162,0.0,1887.0,783.41,76.95,6500000
1264.0,79.0,74,0.0,1880.0,330.72,109.47,3495000
1439.0,6.0,157,0.0,1916.0,1465.73,319.81,7700000
2300.0,77.0,119,0.0,2008.0,1027.77,186.33,4995000
2300.0,77.0,117,0.0,2008.0,1044.55,163.44,4500000
2300.0,77.0,117,0.0,2008.0,1044.55,163.44,4900000
2300.0,77.0,117,0.0,2008.0,1044.55,163.44,4500000
2300.0,77.0,110,0.0,2008.0,1044.55,163.44,4550000
2300.0,77.0,109,0.0,2008.0,1044.55,163.44,4750000
2300.0,77.0,115,0.0,2008.0,1060.13,142.92,3900000
2300.0,77.0,115,0.0,2008.0,1060.13,142.92,4625000
2300.0,112.0,94,0.0,2008.0,890.43,184.19,3495000
2300.0,112.0,97,0.0,2008.0,890.43,184.19,4450000
2300.0,114.0,97,0.0,2008.0,909.09,204.46,4040000
2300.0,114.0,102,0.0,2008.0,909.09,204.46,4315000
2300.0,114.0,144,0.0,2008.0,909.09,204.46,6300000
2300.0,116.0,94,0.0,2008.0,926.22,222.81,3450000
2300.0,116.0,97,0.0,2008.0,926.22,222.81,3920000
2300.0,118.0,102,0.0,2008.0,941.53,232.14,4195000
2300.0,118.0,102,0.0,2008.0,941.53,232.14,3985000
2300.0,120.0,116,0.0,2008.0,955.41,219.68,5135000
2450.0,93.0,84,0.0,2008.0,568.5,201.23,2660000
2450.0,93.0,134,0.0,2008.0,568.5,201.23,5450000
2450.0,95.0,93,0.0,2008.0,555.98,202.09,2890000
2450.0,97.0,91,0.0,2008.0,542.58,202.34,2995000
2450.0,9.0,84,0.0,2008.0,553.06,219.89,3250000
2450.0,7.0,91,0.0,2008.0,565.09,235.25,3815000
2450.0,99.0,103,0.0,2008.0,581.52,222.59,3700000
2450.0,101.0,102,0.0,2008.0,591.05,242.41,3720000
2450.0,8.0,108,0.0,2006.0,255.15,554.39,3550000
2450.0,11.0,74,0.0,2008.0,534.3,400.51,2775000
2450.0,11.0,107,0.0,2008.0,534.3,400.51,3159000
2450.0,11.0,108,0.0,2008.0,534.3,400.51,4250000
2450.0,11.0,67,0.0,2008.0,547.12,387.87,2450000
2450.0,11.0,81,0.0,2008.0,547.12,387.87,3295000
2450.0,11.0,88,0.0,2008.0,560.19,375.11,3475000
2450.0,11.0,88,0.0,2008.0,572.81,362.89,3178000
2450.0,11.0,97,0.0,2008.0,572.81,362.89,3700000
2450.0,11.0,88,0.0,2008.0,585.86,350.34,3200000
2450.0,13.0,89,0.0,2008.0,643.41,293.99,2995000
2450.0,13.0,95,0.0,2008.0,643.41,293.99,3249000
2450.0,13.0,132,0.0,2008.0,644.64,290.55,4325000
2450.0,13.0,90,0.0,2008.0,636.95,297.81,3198000
2100.0,18.0,88,0.0,2007.0,340.9,135.94,3460000
2100.0,18.0,87,0.0,2007.0,340.9,135.94,3175000
2100.0,18.0,88,0.0,2007.0,340.9,135.94,3500000
2100.0,16.0,158,0.0,2007.0,314.6,146.59,6100000
2100.0,16.0,123,0.0,2007.0,314.6,146.59,4895000
2300.0,55.0,131,0.0,2008.0,428.51,335.73,3995000
2300.0,55.0,114,0.0,2008.0,428.51,335.73,2550000
2300.0,55.0,131,0.0,2008.0,428.51,335.73,4445000
2300.0,55.0,101,0.0,2008.0,428.51,335.73,2695000
2300.0,55.0,116,0.0,2008.0,428.51,335.73,4050000
1203.0,24.0,191,0.0,1730.0,370.28,85.48,5500000
1203.0,24.0,193,0.0,1730.0,370.28,85.48,6200000
1204.0,11.0,126,0.0,1730.0,383.56,71.36,3450000
2450.0,23.0,137,0.0,2008.0,403.9,423.25,6500000
2450.0,27.0,112,0.0,2008.0,386.1,437.24,4475000
2450.0,27.0,112,0.0,2008.0,386.1,437.24,4704000
2450.0,29.0,112,0.0,2008.0,380.76,434.18,4800000
2500.0,210.0,124,241.0,1939.0,376.79,291.14,2600000
1553.0,42.0,157,0.0,1904.0,145.9,199.73,5550000
1666.0,54.0,52,0.0,1971.0,138.31,36.43,1465000
2450.0,31.0,86,0.0,2008.0,527.16,96.99,1600000
2450.0,49.0,81,0.0,2008.0,498.28,104.54,2645000
2450.0,55.0,130,0.0,2008.0,479.42,111.47,4095000
2450.0,63.0,97,0.0,2008.0,509.24,161.7,3295000
2450.0,63.0,90,0.0,2008.0,509.24,161.7,3995000
2450.0,73.0,73,0.0,2008.0,536.06,168.55,2650000
2450.0,83.0,75,0.0,2008.0,555.89,167.95,2395000
2450.0,83.0,170,0.0,2008.0,555.89,167.95,5800000
2450.0,83.0,96,0.0,2008.0,555.89,167.95,4000000
2450.0,85.0,94,0.0,2008.0,549.17,150.99,3910000
2720.0,22.0,42,0.0,1899.0,241.43,189.04,1900000
1561.0,82.0,75,0.0,2008.0,1090.79,244.4,3325000
1561.0,84.0,104,0.0,2008.0,1093.68,253.11,3700000
1561.0,84.0,90,0.0,2008.0,1093.68,253.11,3650000
1561.0,86.0,100,0.0,2008.0,1107.32,268.27,4800000
1561.0,78.0,98,0.0,2008.0,1143.84,295.83,4720000
1561.0,78.0,95,0.0,2008.0,1143.84,295.83,5200000
1561.0,74.0,108,0.0,2008.0,1136.06,280.85,5420000
1561.0,70.0,107,0.0,2008.0,1107.05,250.37,4050000
2100.0,36.0,123,0.0,2008.0,353.41,94.77,4125000
2100.0,36.0,123,0.0,2008.0,353.41,94.77,4450000
2100.0,36.0,103,0.0,2008.0,353.41,94.77,3100000
2100.0,36.0,102,0.0,2008.0,353.41,94.77,3100000
2100.0,36.0,139,0.0,2008.0,353.41,94.77,6170000
2100.0,34.0,103,0.0,2008.0,321.26,97.91,3150000
2100.0,34.0,103,0.0,2008.0,321.26,97.91,3175000
2100.0,34.0,132,0.0,2008.0,321.26,97.91,5575000
1720.0,74.0,77,0.0,1900.0,245.9,139.93,4495000
2500.0,7.0,66,0.0,1903.0,108.85,58.38,2400000
2100.0,16.0,90,0.0,1934.0,201.81,69.96,2975000
2450.0,26.0,133,0.0,2008.0,456.12,63.7,4335000
2450.0,1.0,123,0.0,2008.0,517.64,7.53,3200000
2450.0,3.0,94,0.0,2008.0,518.44,15.85,3100000
2450.0,7.0,96,0.0,2008.0,520.86,32.6,3945000
2450.0,7.0,96,0.0,2008.0,520.86,32.6,3900000
2450.0,9.0,92,0.0,2008.0,523.16,44.19,3170000
2450.0,13.0,124,0.0,2008.0,520.61,62.37,3740000
2450.0,13.0,124,0.0,2008.0,520.61,62.37,3650000
2450.0,13.0,126,0.0,2008.0,520.61,62.37,4000000
2450.0,15.0,91,0.0,2008.0,505.58,67.09,3250000
2450.0,17.0,93,0.0,2008.0,491.5,73.2,2995000
2450.0,19.0,95,0.0,2008.0,477.19,81.99,3100000
2450.0,19.0,95,0.0,2008.0,477.19,81.99,3098000
2450.0,19.0,95,0.0,2008.0,477.19,81.99,3000000
2450.0,21.0,112,0.0,2008.0,463.93,86.61,3450000
2450.0,21.0,122,0.0,2008.0,463.93,86.61,3995000
2450.0,23.0,93,0.0,2008.0,460.71,78.73,3250000
2450.0,23.0,98,0.0,2008.0,460.71,78.73,3995000
2450.0,25.0,92,0.0,2008.0,457.45,72.05,3200000
2450.0,25.0,97,0.0,2008.0,457.45,72.05,3975000
2450.0,25.0,97,0.0,2008.0,457.45,72.05,4050000
1655.0,10.0,123,0.0,1918.0,170.71,55.8,4500000
1655.0,10.0,123,0.0,1918.0,170.71,55.8,4430000
1561.0,34.0,71,0.0,2008.0,1107.98,215.78,3125000
1561.0,36.0,84,0.0,2008.0,1119.29,208.42,2950000
1561.0,36.0,107,0.0,2008.0,1119.29,208.42,4240000
1561.0,38.0,137,0.0,2008.0,1105.46,249.58,4050000
1561.0,40.0,105,0.0,2008.0,1120.18,245.29,3727000
1561.0,42.0,106,0.0,2008.0,1134.8,240.48,4600000
2500.0,295.0,121,0.0,2008.0,559.34,210.59,2750000
2700.0,4.0,97,0.0,1933.0,263.64,63.06,2650000
2500.0,19.0,118,0.0,1924.0,119.98,41.95,3795000
2450.0,49.0,114,0.0,2009.0,402.34,176.77,3900000
2450.0,35.0,120,0.0,2009.0,367.92,208.45,4200000
2450.0,59.0,109,0.0,2009.0,372.77,219.73,1800000
2450.0,63.0,112,0.0,2009.0,379.46,236.51,4010000
2450.0,6.0,103,0.0,2009.0,421.21,227.3,3375000
2450.0,6.0,104,0.0,2009.0,421.21,227.3,3595000
2450.0,16.0,112,0.0,2009.0,451.45,187.47,3495000
2450.0,16.0,112,0.0,2009.0,451.45,187.47,3925000
2450.0,16.0,90,0.0,2009.0,451.45,187.47,2860000
2450.0,12.0,99,0.0,2009.0,436.08,163.7,3298000
2500.0,111.0,159,223.0,1939.0,295.07,166.12,3300000
2500.0,117.0,130,181.0,1939.0,313.69,151.03,3215000
2500.0,135.0,159,223.0,1939.0,371.72,111.16,3610000
2300.0,2.0,94,0.0,1934.0,315.71,359.73,2645000
2300.0,81.0,96,0.0,2009.0,1568.39,75.37,2950000
2300.0,81.0,76,0.0,2009.0,1568.39,75.37,2295000
2300.0,85.0,96,0.0,2009.0,1580.68,90.41,3000000
2300.0,85.0,96,0.0,2009.0,1580.68,90.41,3200000
2300.0,87.0,96,0.0,2009.0,1587.55,101.27,3095000
2300.0,89.0,140,0.0,2009.0,1588.65,119.35,4495000
2720.0,19.0,96,0.0,1970.0,277.84,117.05,3150000
2450.0,63.0,81,0.0,1936.0,399.5,150.21,1898000
2500.0,4.0,92,0.0,2009.0,404.37,72.81,2998000
2200.0,24.0,77,0.0,1907.0,219.05,80.37,2625000
2200.0,22.0,76,0.0,1907.0,210.72,90.06,2650000
1264.0,110.0,118,0.0,1838.0,468.02,75.61,5850000
1561.0,54.0,95,0.0,2009.0,1173.71,290.27,4295000
1561.0,54.0,77,0.0,2009.0,1173.71,290.27,3725000
2500.0,250.0,130,241.0,1939.0,416.78,174.77,3395000
2500.0,143.0,150,223.0,1939.0,397.2,100.76,3995000
2500.0,9.0,92,0.0,1924.0,222.87,162.1,3450000
1466.0,4.0,107,0.0,1796.0,412.81,35.97,4395000
1466.0,4.0,118,0.0,1796.0,412.81,35.97,5295000
1466.0,4.0,138,0.0,1796.0,426.3,34.39,4790000
2300.0,11.0,101,0.0,1935.0,320.74,148.81,2600000
2300.0,8.0,1215,978.0,1915.0,546.4,207.9,5250000
2720.0,25.0,83,0.0,1970.0,242.15,142.21,2695000
2300.0,4.0,148,0.0,1960.0,1133.53,39.72,4500000
