haeldning_300m,elevation,mass_balance,haeldning_adaptiv,hastighed_x,retning,hastighed_y,afstand_til_kant_km,areal,gletsjer_dybde
0.12,749.95,-986.39,0.12,5.63,133.56,-2.84,0.325,4.184,66.0
0.12,744.95,-988.3,0.11,5.98,132.8,-3.26,0.316,4.184,66.0
0.13,734.27,-992.37,0.14,1.65,130.67,-0.14,0.229,4.184,66.0
0.13,733.02,-992.84,0.17,3.81,138.45,0.7,0.188,4.184,65.0
0.13,733.56,-992.63,0.16,2.86,132.24,0.86,0.2,4.184,65.49
0.13,733.9,-992.51,0.15,1.83,134.46,0.73,0.213,4.184,66.0
0.13,729.59,-994.15,0.18,6.59,149.33,-2.9,0.15,4.184,65.0
0.13,732.19,-993.16,0.17,4.84,143.43,-0.06,0.18,4.184,65.0
0.26,53.37,-658.98,0.66,-1.8,199.76,10.91,0.004,0.02,4.0
0.26,51.61,-660.85,0.66,-1.27,197.75,11.13,0.011,0.02,4.5
0.26,48.4,-664.24,0.6,-1.27,195.64,11.13,0.011,0.02,2.0
0.26,50.14,-662.39,0.65,-1.27,196.08,11.13,0.018,0.02,4.0
0.26,45.25,-667.57,0.54,-1.5,161.02,11.1,0.01,0.02,2.0
0.26,48.91,-663.7,0.64,-1.27,194.65,11.13,0.022,0.02,5.0
0.25,48.2,-664.45,0.64,-1.27,191.34,11.13,0.02,0.02,6.0
0.25,47.8,-664.87,0.63,-1.27,187.27,11.13,0.018,0.02,6.5
0.25,43.56,-669.36,0.57,-1.27,175.46,11.13,0.007,0.02,7.0
0.25,42.02,-670.98,0.52,-1.5,139.85,11.1,0.001,0.02,3.0
0.25,42.93,-670.02,0.57,-1.27,168.98,11.13,0.004,0.02,7.0
0.25,41.98,-671.03,0.56,-1.27,159.17,11.13,0.006,0.02,7.0
0.25,41.25,-671.8,0.55,-1.27,145.98,11.13,0.009,0.02,6.0
0.25,37.28,-676.0,0.48,-1.05,92.4,11.35,0.014,0.02,5.0
0.24,36.6,-676.72,0.47,-1.05,82.52,11.35,0.019,0.02,4.0
0.24,36.21,-677.13,0.47,-1.05,73.86,11.35,0.026,0.02,5.0
0.24,32.79,-680.75,0.4,-1.05,53.09,11.35,0.031,0.02,4.5
0.23,27.57,-686.27,0.26,-1.05,31.79,11.35,0.02,0.02,5.0
0.24,32.92,-680.61,0.4,-1.05,52.8,11.35,0.032,0.02,6.0
0.23,29.61,-684.11,0.34,-1.05,41.97,11.35,0.022,0.02,5.5
0.23,29.44,-684.29,0.34,-1.05,42.84,11.35,0.017,0.02,3.5
0.23,27.69,-686.15,0.29,-1.05,38.85,11.35,0.009,0.02,2.0
